"name","long_tender_text"
"W111-1.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 1.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 3,20 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln..</br>Beplankung beidseitig aus Gipsplatten GKB DIN 18180 bzw. Typ A EN 520: Knauf Bauplatte,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W112-134.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,</br>Brandschutztechnische Anforderungen an die Bekleidung,
Feuerwiderstandsklasse 90 Minuten nach DIN 4102-2.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 7,00 m)</br>Wanddicke: 125 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 75, Achsabstand 312,5 mm, Boden und Deckenanschlüsse mit Randprofilen UW 75/40.</br>Beplankung beidseitig aus Gipsplatten GKFI DIN 18180 bzw. Typ DFH2IR EN 520: Knauf Diamant,
zweilagig, Plattendicke 2x 12,5 mm,
Verschraubung mit Diamant-Schraube XTN,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W112.de</br>Diese Ausführung ist eine Erweiterung zum Verwendbarkeitsnachweis Brandschutz.
Vorherige Abstimmung gem. Knauf Brandschutzordner, Abschnitt Nutzungshinweise empfohlen."
W386-C5-74.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand,</br>Wandhöhe: … m
(max. zul. Wandhöhe: 5,60 m)</br>Wanddicke: … mm
(Wanddicke ≥ 180 mm)</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer als Einfach-Profile Knauf CW 75 C5-M, Ständerachsabstand 417 mm,
als Doppelständerwerk, Metallständer durch Laschen zug- und druckfest verbunden,
Boden und Deckenanschlüsse mit Randprofilen UW 75/40/06 C5-M,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Beplankung innen aus Gipsplatten GKFI DIN 18180:
Diamant, einlagig, Plattendicke 12,5 mm, Typ DFH2IR EN 520,
Verschraubung mit Knauf Diamantschrauben XTN,
Verarbeitung gemäß DIN 18181.
Beplankung außen aus Zementbauplatten DIN EN 12467:
AQUAPANEL Cement Board Indoor,
einlagig, Plattendicke 12,5 mm,
kraftschlüssige Fugenverklebung mit AQUAPANEL Fugenkleber,
Verschraubung mit AQUAPANEL Maxi Schrauben,
Verarbeitung gemäß Knauf Detailblatt W38.de.</br>Verspachtelung der Aquapanel Cement Board Indoor gemäß Knauf Detailblatt W38.de,
Qualitätsstufe AQ1 Standardverspachtelung.</br>Ausführung gemäß Knauf Detailblatt W38.de.
System: Knauf Metallständerwand W386.de mit Aquapanel Technologie"
W122-F60-04.de,"Nichttragende innere Trennwand DIN 4103-1 als Montagewand.</br>Brandschutztechnische Anforderungen an die Bekleidung,
Feuerwiderstandsklasse 60 Minuten nach DIN 4102-2.</br>Rechenwert des bewerteten Schalldämm-Maßes Rw,R = 41 dB.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 4,10 m)</br>Wanddicke: 130 mm</br>Ausführung der Unterkonstruktion aus Holz DIN 4103-4,
Querschnitt in mm 60x80 mm, als Einfachständerwerk, Achsabstand 625 mm.</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 40 mm,
Mindestrohdichte 40 kg/m³, Brandverhalten nach DIN EN 13501-1: A1,
einlagig, dicht stoßen, abrutschsicher verlegen,
Schmelzpunkt DIN 4102-17 ≥ 1000 °C,
längenbezogener Strömungswiderstand nach DIN EN 29053: r ≥ 10 kPa·s/m², *
Produkt: Knauf Insulation Feuerschutz-Dämmplatte DPF-40 oder gleichwertig. *</br>Beplankung beidseitig aus Gipsplatten DIN 18180 bzw. Typ DF EN 520: Knauf GKF,
zweilagig, Plattendicke 2x 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W12.de.
System: Knauf Holzständerwand W122.de"
